lesson_question_map_id ,lesson_id                            ,question_id                          ,order
                    24 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,175595ce-6356-42b2-84c5-1bcf726c333c ,   16
                    25 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,7d87605c-0e06-4539-a5db-f86e4716da44 ,   28
                    26 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,fe4da357-9a8f-4d0c-a9ab-08eab566bbc8 ,   11
                    27 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,24aec295-25e7-46d7-90ea-97d79e77481c ,   20
                    28 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,3ee60331-76da-4424-b944-a90de9fc839d ,    8
                    29 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,3301937c-30b6-4e00-81dd-caa81f9f9988 ,   15
                    30 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,caa2d278-c43f-47fd-b9ef-040d02ec0c41 ,   13
                    31 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,2bde835b-1600-4063-990a-6313e554cc53 ,    7
                    32 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,b06f8967-6807-45a5-978d-ba40fc859af9 ,   32
                    33 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,ee79d412-4992-4c45-9cda-c241427e31d9 ,   33
                    34 ,3121fdbf-f966-445e-94d9-8ef8520abd9e ,83f52273-c4e9-43de-8a08-76d14de7b1d9 ,   34
                    35 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,5602f091-e8fa-43b8-94ed-4bbfc8641b63 ,    2
                    36 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,3d8e1d83-21cf-4db0-9b16-4c14ea4d1120 ,    4
                    37 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,27b3f990-b244-4fb2-907b-8dccb209d4f9 ,    8
                    38 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,2c201672-a9d2-42d6-bece-d11413a31d8c ,   10
                    39 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,f801004b-5cba-40db-b0d9-0d26105ad9f2 ,   14
                    40 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,a608c686-b0f8-45f9-9f21-d0f62edad19c ,   16
                    41 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,48fea215-68b2-49a7-8f17-e18a660f83b3 ,   18
                    42 ,6da1d88a-6da8-4569-a675-54d31921acb9 ,3bf9d0df-31c2-4db4-bdd5-ffd48c010039 ,   20
